Theta_Actual,Phi_Actual,Theta_Predicted,Phi_Predicted
-25,-80,-26.688488015421,-5.42905962545552
90,-5,-25.4208732729638,47.205475772788
-90,-40,16.335231842652,-19.224549124809
40,40,3.10213752778763,-0.665957965696663
-90,-70,-13.6256705660522,3.86608120438208
-30,15,34.1631348100434,-16.5289061885068
20,0,0.58400812509862,1.42455484997232
-35,65,-71.6354320492951,-24.5127697463339
-20,-20,-5.57657770427089,11.137933844017
-80,15,13.781421458334,-19.1701137796517
15,65,-11.9602366960863,-1.0887950174567
-40,80,-7.74121803018947,-3.09507056476016
-85,75,8.98410062838708,23.8460954675862
-45,-10,14.5407691069373,9.95537919185257
-30,-90,-27.0467467382752,-13.0309711903788
-65,-85,1.03626999038744,4.29596063938259
-20,-30,16.3929117070055,15.3969543441338
-75,60,-55.4386325179918,-27.6936900621703
-40,20,-8.11093204315105,7.41459964204513
-70,-25,109.962085635561,-6.01013151199606
-25,20,-27.5842818188901,-8.25445886022149
-45,40,-14.9705817200319,8.72728537712256
-35,75,7.25444043924188,-1.22247307526274
10,20,-0.754871444894732,-6.76073350360618
-60,-90,5.04784689501895,-10.6458887006524
-40,-50,-113.274024071645,11.3282394607314
5,50,2.16820380140359,-0.556920032977374
-15,-5,-3.37777095273468,5.95283854086996
60,-30,13.1332534211603,-30.2382847814308
85,-20,-52.1646428665916,20.3236439210568
-5,-55,0.179458541843104,-10.7154336129588
-85,90,31.1484564564639,-34.5314986422955
30,-75,11.3028629945565,4.70235436426063
60,-90,-21.7724096474776,-5.84402781355281
-25,-85,-39.7079164602897,4.87428688017665
-50,65,-0.377369219334639,-0.0758824213471456
85,60,-87.964226220287,-17.4001989841871
-45,25,-11.5779302965269,-12.7602842825038
75,80,2.37345598176371,-1.28360240681869
5,80,1.50966739242854,7.09076950987658
50,70,-10.7648432184533,0.653753416026674
-70,90,74.1050279538311,11.728084165531
-70,50,22.2698609897095,-10.0267075247647
10,85,-7.91213133986629,7.33751657745553
0,-20,-0.818212391396443,-8.79295126698273
-60,25,-13.9297357797417,2.84689369884099
-65,-85,-23.8489795448045,33.0072309743628
85,0,78.3186123131077,-8.72371864623157
75,35,20.9361159752763,-31.3864296912712
45,-70,-33.5123263078449,0.663395969188343
30,0,11.0153818428639,4.9158241335457
-50,-70,42.0491433611289,9.16841331936892
-25,10,-30.5440171511233,-2.28340271148048
