Theta_Actual,Phi_Actual,Theta_Pred,Phi_Pred
15,75,30.9385239112836,-4.2867163755266
15,85,-4.8259456362277,14.4416864466144
20,-60,-9.04222083632407,-18.6769308860232
20,-55,28.9340082958998,5.70494081086142
20,-50,14.1900152893362,12.1061649869193
20,-30,-5.74336402996247,2.97868502449998
20,-5,51.0714951850207,-13.3388536326685
20,0,-30.7478254133048,-22.8501640494646
20,25,-41.3643455978975,-20.8772146280491
20,70,-40.0720230262122,-5.37870559862888
20,90,31.2892791942841,-17.2139709311888
25,-90,2.61813781307806,-8.16574209509713
25,-60,-33.5160065725628,-38.1322819270097
25,-40,-26.2836632252688,4.43588533210772
25,-30,-43.998714541522,-6.17412096750785
25,25,36.3868909105406,3.71260422172464
25,70,-34.59421389867,-25.5961416888713
25,80,-12.973886195196,-20.2269707211578
25,90,-4.06781189387545,22.2988545197363
30,-80,44.8537401645991,27.8066679736231
30,-50,-19.6543221778027,1.34385556597039
30,-35,29.1614274126358,-7.59955755280202
30,5,-8.0953100962599,-40.3309873743645
30,40,0.792742351373857,-16.8913995680555
35,-90,-40.374654572163,-34.1331342508542
35,-35,-4.17244555661176,-3.29969999869487
35,-30,71.8764605538051,-26.6781906034991
35,-10,38.8647360622687,-0.489129763201374
35,10,-27.5368081973727,-34.9149890285529
35,85,-48.8116708238048,5.08056952513667
35,90,22.560581430019,10.0175026164238
40,-90,-23.2507312152647,22.6195230997745
40,-85,1.17180489279872,-11.3120837450988
40,-75,21.1826193829069,15.1145064438881
40,-65,-7.68139655570712,26.9824654643328
40,-45,16.404358338841,32.4196204630805
40,5,-2.83799089263503,25.156495898209
40,30,43.0643996241525,12.587377349183
40,55,-9.63637577218236,38.8381347524723
40,60,-29.7460312102452,-6.30376328215424
40,90,61.1016032208895,9.41764066001423
45,-80,-0.0519991987707957,-31.1177647850453
45,-70,0.60739057636796,4.21147548448323
45,-45,-5.76318642390224,-40.5091180472124
45,-10,-47.5994589656508,-69.944075829234
45,5,-20.5987850865764,-18.9505480369357
45,10,47.7573964767546,4.03813535240269
45,35,-49.6288016482674,35.4119678281475
45,50,-25.5119681127975,-27.4638236523369
50,-90,-17.1711609636309,-38.8911427584743
50,-80,-50.9153440747341,30.0084887598382
50,-75,-18.0439761817945,42.4913803692909
50,-40,60.4509268165828,-16.1841885575847
50,-25,41.8247564791486,8.20281812000974
50,-5,-60.5731435480205,-21.4693263847915
50,50,-15.0564407237728,-15.8666089130362
55,-70,62.7645332633206,22.0176796414143
55,-65,-6.37348529109696,-9.74041191560651
