Theta,Phi,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8
-80,55,1,0.585659471331073,0,0.44557572975483,0.665892551650574,0.442392022638218,0.00961974828005178,0.522102435876383
-80,60,1,0.553652925644579,0.494961279256887,0.218782972152749,0,0.218577708383886,0.494832444571115,0.555170853659995
-80,65,0,0.507767804695403,1,0.662198725270733,0.541457252425691,0.659711366839523,0.995695481657271,0.48785429759274
-80,70,0.350887922963081,1,0.664449403678806,0.234787330426834,0,0.247798978032516,0.692651121549084,0.866675417541477
-80,75,0.877249328397807,0,0.130366331099577,0.820372703815669,1,0.791625791905362,0.0723743741516285,0.0756033196433867
-80,80,0.062916256257812,0.80684571677201,0.875114244217832,0.942005903600162,0,1,0.81067388443264,0.434754960918389
-80,85,0,0.503121165520356,0.547353672408554,0.991421595343857,0.616550381344229,1,0.603389648585776,0.248558301929626
-80,90,1,0.102611128694095,0.0596354925658365,0.831492335973017,0.852257025851834,0.88026791800678,0,0.104569212843052
-75,-90,0.113236340091639,0.311954918549769,0,1,0.748624237560196,0.895242551652141,0.141952740621823,0.761911107380619
-75,-85,0,0.881634202888202,0.24116295807923,0.288721885558033,1,0.312107906953947,0.310132428047747,0.607192514150907
-75,-80,0.157902189305241,0.531217552841957,0,0.360218198198389,1,0.333464343570629,0.0278849587406369,0.450401454061907
-75,-75,0.588433287025591,0.360383927149883,0.664934681670672,0,1,0.00312638917198044,0.671647345355825,0.318932693188811
-75,-70,0.340306022039571,0.46369422661863,1,0.888204056192837,0,0.860954981759987,0.909482567146678,0.206753342621247
-75,-65,0,1,0.00177241355107061,0.711173825832025,0.766384601754763,0.697861278183066,0.107905974669869,0.909645037310014
-75,-60,1,0.507422559544903,0.0183170221252844,0.825533505750784,0.337931016399741,0.83227725496555,0,0.590764770685147
-75,-55,0.135246318112977,1,0.207897994142405,0.0959430876117986,0,0.0971367437653692,0.239232440989476,0.635492759096743
-75,-50,0.332992014005499,0.323725241930938,0.261307394587334,1,0,0.961015705118587,0.320064047281184,0.122642296583621
-75,-45,0,1,0.393607542767936,0.344048269355821,0.00373100147979532,0.344048269355821,0.393607542767936,1
-75,-40,0,0.309399821942041,0.193736094059938,1,0.587324825089271,0.981880795294627,0.13760805947831,0.307596021478954
-75,-35,0.24703786199952,0.574238113523297,0.827323383294756,0.503470658718381,0,0.482059980773139,1,0.706052116764321
-75,-30,0.724536215245136,1,0.879178095870213,0.0743807919869987,0,0.0608713802549965,0.856941720251497,0.886673846556524
-75,-25,0,0.776765247983974,0.831938798371196,0.828428792055401,0.344633514583523,0.868394669215125,0.894385304521436,1
-75,-20,0.360427422054247,0.517002471727706,0.886371614668147,0.619238033179316,0,0.616380832953519,0.872863097691784,1
-75,-15,0.207798460662586,0.931226629387486,0.71649029222271,0,0.942058212113015,0.0083543490899421,0.702693097590471,1
-75,-10,0,0.777059436849639,0.806506910465428,0.0463783780106157,1,0.0657886077091935,0.822904770724472,0.52925349289151
-75,-5,0.299533333318785,1,0.00266643042341659,0.33341435751981,0,0.357354715578579,0.108014720714617,0.612060642352386
-75,0,0.535658642303572,0.258976835382623,1,0.26852596614044,0.0854331963503567,0.28608589176948,0.910830957434827,0
-75,5,1,0.373855882105069,0.0741600060797544,0.674759206667009,0.0266511276084748,0.591399639989152,0.206607216980523,0
-75,10,0.586644392656887,0.68242778605317,1,0.534633787909911,0.0564582035871842,0.65523427309289,0.841605508619488,0
