FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,Theta,Phi
0.0101237750849174,0.321159327071882,0.991649556257634,0.00124408133757147,0.15561697977186,0,1,0.361064378110675,-85,-75
0.0978827644796834,0.163299371983451,0.988015998234103,0.910558456382876,0,0.924786382607873,1,0.2670758832688,-85,-70
0.0991364843337458,1,0.331763420806698,0.0252290043642469,0.930331210757938,0,0.389259428112276,0.951855527766332,-85,-65
0.31079777649843,0.184187915150618,0.0016245376767038,1,0.272075440042233,0.998766380832254,0,0.175239335166268,-85,-60
0.220726528951144,1,0.230215734216954,0,0.201932015445635,0.0251197897619882,0.176154156572595,0.951591087096988,-85,-55
1,0.843847511237434,0.676104511981606,0.678312589204913,0,0.632975017437255,0.654376258986266,0.863581447856442,-85,-50
0.0271417904605261,1,0.465466353161045,0.281982550916183,0,0.281982550916183,0.465466353161045,1,-85,-45
0,0.799581689407655,0.450540503919117,0.985519967853525,0.65395610246889,1,0.526081231535087,0.446548155906145,-85,-40
1,0.916892344992239,0.443692196035049,0.0377656463964457,0.0494557407628426,0,0.399300211819871,0.818998802239026,-85,-35
1,0.324376616264369,0.920383089966924,0.00213859581521272,0.147838580982868,0,0.918562316657017,0.326628258279001,-85,-30
0,0.726714303915955,0.361747069460378,0.443145599538511,1,0.469795696444127,0.322643614375858,0.919830280047105,-85,-25
0.340212323978196,0.932316606724045,0.390491563943861,0.522115650968178,0,0.51277904573984,0.368959763897329,1,-85,-20
1,0.0520406529046224,0.00481802052964471,0.208529568363246,0.59136425118877,0.209157572539831,0,0.0308934623996531,-85,-15
0,0.799512924387056,0.334032342164666,0.244206362144375,0.0990261218452337,0.233104968293542,0.363957581682798,1,-85,-10
0.337698144359625,0.401720399721696,0.0309520261783868,0.978920402282603,0.251024128571156,1,0,0.326646570953534,-85,-5
0.0140027793090005,0.0414308541229584,0.537815776626653,0.197833235513061,1,0.20498971271375,0.548869266753316,0,-85,0
0.441459838015806,0.203271586715013,0.872801632549128,1,0,0.994496588983862,0.860298446660654,0.198830049362882,-85,5
0,0.981463403786235,0.825857383553829,0.227613579226282,0.350703879466527,0.199997431699278,0.782037758748869,1,-85,10
0,1,0.262843991746128,0.486589355101528,0.788894521136107,0.478458086876524,0.253422961619358,0.900247259432835,-85,15
0,0.270987678165568,0.984188320658349,0.315518435536098,0.490380650317141,0.306653933328084,1,0.173520201568866,-85,20
0,1,0.385327035259255,0.361309729640024,0.0521870074910685,0.363091663563919,0.385542802546805,0.989145407668943,-85,25
0,0.128843193989533,0.651543414672768,0.920325089233939,1,0.920393240872124,0.651775935052059,0.129238559667811,-85,30
0,0.387234008715674,0.284791144722199,0.17220904749886,1,0.171392524012065,0.295867533786166,0.329955211546819,-85,35
0.495938155719498,0.229713086699821,0.990227442444407,0.516483344298858,0,0.500177822031254,1,0.366638119380236,-85,40
0.136938568748144,1,0,0.498433412499679,0.663532669922791,0.468484759469975,0.0436616848808943,0.786202798455635,-85,45
0.140388582210095,0.862694355476768,0.976383436285911,0.201039655862856,0,0.218793016102686,0.945375317581972,1,-85,50
0,1,0.14548310026004,0.66210368625427,0.588974398967898,0.674070633106902,0.135513235158391,0.913363758936863,-85,55
0.499738846961646,0.411135855554417,0.999898214348771,0.588651302661292,0,0.588488664222537,1,0.411623769436997,-85,60
0,0.909931000322129,0.848719335542492,0.998334556347401,0.0547690865449355,1,0.846723435148022,0.920995358233241,-85,65
0.092982427180174,0.231148386884714,1,0,0.587438214863454,0.025772507827716,0.964650530076067,0.170949888761198,-85,70
0.344899586176546,0,1,0.714053461823261,0.213175670626446,0.684027595210005,0.970937485466443,0.0596708252971149,-85,75
