Theta_Actual,Phi_Actual,Theta_Predicted,Phi_Predicted
65,-50,-9.8570670995671,8.30334595959596
-15,35,4.56109126984127,23.5576190476191
20,50,12.049217032967,-15.2326533189033
50,55,7.93650793634981e-05,-15.7057936507936
-15,-35,-1.65031385281385,-0.0179761904761901
-40,20,3.692886002886,-2.76948412698413
85,-10,3.96073412698413,-17.2244444444444
20,45,15.5237355699856,5.75843253968254
-25,-15,3.00554292929293,-4.40107142857143
35,5,14.5436507936508,-3.47939033189033
65,80,-7.33934704184704,-9.2302380952381
80,-65,8.6881746031746,-2.9175
75,20,-9.12628968253969,-14.9227380952381
-85,-85,6.5184126984127,-13.4063888888889
55,-35,-16.9612031024531,-12.1890710678211
-35,-30,3.65688492063492,-23.6725793650794
-70,0,-0.965218253968256,4.79873015873016
-50,-50,-4.72761904761905,17.4005916305916
-70,55,8.33259920634921,12.0663492063492
70,-90,0.179126984126984,8.07473484848485
-10,40,7.77644841269841,10.0789087301587
0,45,10.9906150793651,-17.1970562770563
45,-65,13.9084325396825,8.24946428571428
0,-85,4.09875360750361,-31.5104761904762
-65,-75,-10.4814682539683,6.37743686868687
-85,-20,21.7903571428571,-2.92478174603175
-40,5,6.9022619047619,-19.527123015873
-90,80,-11.6264087301587,-2.38712301587302
-65,90,3.91753427128428,14.2181547619048
60,-5,9.02588564213564,13.9597420634921
90,-70,-12.2727380952381,12.7899206349206
75,70,-11.9400595238095,-3.26882936507937
-75,-45,-22.6951785714286,4.3374512987013
-5,-15,-1.84666666666667,-10.4071031746032
45,60,15.8002579365079,10.0778373015873
70,-35,0.0277182539682539,-9.43567460317461
65,-75,6.73906746031746,-7.2352380952381
-80,75,-5.64485028860029,6.96928571428572
-85,-75,-1.06041666666667,0.579464285714285
-75,-80,7.49742063492064,0.402440476190477
65,90,0.499503968253968,6.87267857142857
10,-20,-7.86698412698412,-18.2379761904762
-90,85,-8.97930555555556,-8.84644841269841
55,10,-15.1613528138528,17.3458333333333
20,5,-9.91347222222222,6.37845238095238
-25,50,0.0663888888888885,5.79487554112554
75,-85,-5.32829365079365,-3.11301587301587
15,40,5.95301587301588,29.3362103174603
-55,-35,-16.9738492063492,8.82055555555556
60,-25,4.52253968253968,-11.96625
-65,70,2.33697510822511,-2.1500468975469
5,-70,-4.6314880952381,-23.2534722222222
-75,-65,-1.21376984126984,-9.58063492063492
80,-25,-6.21662698412698,2.38248015873016
-55,-30,2.44150793650794,-10.8742658730159
30,-90,8.02404761904762,10.6637355699856
-35,-40,-16.7818452380952,3.15283910533911
-20,55,6.61369047619048,14.2783928571429
-25,90,-2.25365079365079,-3.02944444444445
5,-35,1.4940873015873,-28.7261940836941
75,-30,-13.8040079365079,-12.5657142857143
-70,-80,-11.2699062049062,12.4519642857143
-25,-80,-2.12625,-4.98519841269841
90,-5,11.0460119047619,17.147601010101
-90,-40,-20.9789285714286,-14.0689285714286
40,40,0.894045815295815,-9.88000000000001
-90,-70,-0.387579365079365,3.11537698412698
-30,15,-2.9990873015873,5.76603174603174
20,0,6.36996031746032,9.64761904761905
-35,65,-13.9180952380952,-6.42714285714286
-20,-20,-6.85327380952381,-2.7671626984127
-80,15,-7.44621572871573,-31.3583134920635
15,65,-0.888214285714285,21.3074404761905
-40,80,-2.5605753968254,-13.29954004329
-85,75,7.25370670995671,-0.129583333333332
-45,-10,5.24146645021645,12.8868055555556
-30,-90,-19.3390674603175,-2.74024350649351
