Theta_True,Phi_True,Theta_Predicted,Phi_Predicted
-15,-35,45.5203253826051,-79.0309796145728
-40,20,-10.55392790389,87.0574772090899
85,-10,84.5697106922012,16.318328955949
20,45,-20.8333697460967,18.0545306731777
-25,-15,-22.7909768643173,-64.8352965467759
35,5,39.3159151806803,-20.40189125064
65,80,-85.3870649373073,-67.1785821508935
80,-65,85.2612381865048,3.10285157765793
75,20,-86.9647005819772,141.440289129741
-85,-85,116.867518600829,76.5404366710248
55,-35,125.902379025751,63.8165625707185
-35,-30,71.6690235870144,-10.3708585610023
-70,0,-50.1865348488447,117.24780064151
-50,-50,-3.52561033841914,-7.48597794783586
-70,55,-90.0082306751054,-120.497711525638
70,-90,-22.4656601418202,76.1839482103746
-10,40,-11.8188137620741,-34.6093751318875
0,45,5.31315729259848,54.7406384698636
45,-65,99.8899191275446,18.352815069859
0,-85,-38.1186929098549,-20.7091163607938
-65,-75,69.3549957623628,-12.5402536848205
-85,-20,91.914381066107,-5.43843004087074
-40,5,19.2255871100658,-102.211170931799
-90,80,57.362165562474,-7.29018911545133
-65,90,37.4166400009787,-10.7194436532353
60,-5,17.728815686708,44.5669168609062
90,-70,111.126179329341,52.9298978196984
75,70,-44.7558552718369,4.93585537957503
-75,-45,-13.737566405032,60.4836514158662
-5,-15,-19.8749770770788,-73.4974514580132
45,60,-12.3995912895553,72.8199135998633
70,-35,100.282166801919,150.230953318305
65,-75,-14.8473486443979,28.3259607615454
-80,75,87.3822443416129,4.04871287611124
-85,-75,-19.6195847093792,33.3216989939491
-75,-80,11.2936303487338,36.4464175186039
65,90,20.7222839842427,-21.1666663964204
10,-20,5.0402687618171,-2.14933549740813
-90,85,75.577151361586,-54.8983054510297
55,10,2.91193624777681,70.4877860083241
20,5,-10.2482934182974,-75.2964379048334
-25,50,11.6369992355047,2.60380732451671
75,-85,36.8739951472673,54.4962483787632
15,40,13.8526658325713,11.4645459731797
-55,-35,89.5324021489846,-142.021168293533
60,-25,-3.38281637643516,85.6902336698004
-65,70,3.50242262971813,16.7060107912519
5,-70,18.8113189451935,22.0731401923977
-75,-65,19.6549633213027,-94.0978011780775
80,-25,-11.4655140675047,-42.8559338654302
-55,-30,37.281761748528,41.0441536301352
30,-90,-89.7610895067571,74.1403748183219
-35,-40,46.3897829720085,-46.2753029511598
-20,55,1.86901574715246,54.1367142510863
-25,90,-106.11602470905,22.2341264842581
5,-35,-12.9894145126715,60.1456070524535
75,-30,101.156161660857,10.6563200916854
-70,-80,33.2722215957211,-7.77021334785455
-25,-80,16.07890660621,27.636058535202
90,-5,-67.1627125443604,85.0086114327549
-90,-40,38.6368659679988,-41.1317310041123
40,40,68.9975222212607,-6.63062637825158
-90,-70,68.8680288603018,-71.9550060007697
-30,15,-22.209904814064,194.105335922722
20,0,4.2280773350237,81.2841379076326
-35,65,3.35423942723858,-43.084503874499
-20,-20,-45.4609651222261,17.1530946974958
-80,15,-34.2409638956072,-44.7131365052461
15,65,5.4745453291743,97.419362601564
-40,80,-1.32724792786323,60.232628648601
-85,75,121.568134910794,118.428607178367
-45,-10,-36.6312553633771,-85.2139386782353
-30,-90,42.8432730928905,-13.4512703309535
-65,-85,56.6425910716632,53.3845594568333
-20,-30,-10.4188727321983,27.1686705866002
-75,60,91.0156543387408,16.9103484155622
-40,20,-13.2521375209107,40.8521683023341
-70,-25,85.4386844885379,-9.65662602392374
-25,20,9.2623466630052,41.6324019871728
-45,40,34.6405726083726,-56.1755568172426
-35,75,63.0121225080314,-69.8522432611351
10,20,4.9198356534252,83.4207029586724
-60,-90,-20.0446675725724,-68.3448441197709
-40,-50,139.521185674747,11.9727831761576
5,50,43.2657798247582,43.0459108176815
-15,-5,2.79181284688833,10.1119540726866
60,-30,-76.1763846421158,-33.0606073493847
85,-20,46.4684646828367,46.8702706052003
-5,-55,-19.7553339049186,-103.049165475525
-85,90,96.3110178957177,-48.1220105485871
30,-75,27.1661702139788,1.66943804931093
60,-90,-47.5930035474686,39.891233046217
-25,-85,-30.349317388214,-8.91465757449937
-50,65,-19.3173167549016,-18.5135620023007
85,60,-21.2957810317435,26.2735392533475
-45,25,-58.6911650717445,21.8679316855421
75,80,-69.7431740050574,-16.5137544433705
5,80,41.9445379643106,0.582877266374837
50,70,-0.220036240110701,-25.8438484127127
-70,90,-27.0701590714373,47.6437716763417
-70,50,75.5556011320755,-0.070273299869271
10,85,13.0632171745014,7.99891583549899
0,-20,-20.559122948827,-56.6940572079418
-60,25,21.3216389987402,5.30963519406427
-65,-85,-84.8805469086712,23.282027707745
85,0,-54.9731614157733,-26.1825561181085
75,35,-13.1492983885359,43.5971730636923
45,-70,35.4595242739935,-28.7122901756479
30,0,-35.5407581332733,-48.0400626510638
-50,-70,-3.87632543065568,94.5204207092572
-25,10,4.67974426745006,10.5592326924187
-20,-5,6.37824402836414,61.0529505004853
-75,-90,51.4381621676113,-10.653728635924
-10,75,4.29900713382837,-8.46213126922011
75,-50,-0.957989707124966,-36.7948767852099
65,0,112.645546055066,-26.016893758807
-75,-15,24.0119780955155,34.0435908565834
65,-85,7.86124960681011,-14.0135003916075
85,25,83.5992051484859,36.4372988584658
50,50,-41.208264107803,61.1223765336774
0,-90,14.1902192637082,8.84708014652566
10,65,-8.31110292096294,29.5803424682933
40,45,55.8045343002286,84.2281665018077
-70,85,-18.9174881629268,-10.0249581416778
-80,85,71.5961493791663,-77.5493959135538
-40,35,-39.1956176125211,-26.1867505938035
-70,-5,35.8966448499743,64.4644094561326
